Date created,Year,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
2018-08-02T00:00:00.000,2013,72482,39994,85685,41988,64624,91993,46015,82073,64880,87577,42542,83489,44404,77453,108503,55695,97873,71682,80143,36106,78274,57525,55643,47536,52276
2018-08-02T00:00:00.000,2008,70482,39055,82616,40087,63078,82033,54934,78348,66131,85173,43288,78437,43496,76620,101867,52934,93895,71696,77686,39426,77703,62206,51587,48614,50347
2018-08-02T00:00:00.000,2012,71169,38670,87083,39077,62413,87215,48772,79304,62443,89203,41931,80427,41515,76220,108234,49969,94365,69258,79012,34454,85478,61529,52604,50204,55875
2018-08-02T00:00:00.000,2015,75784,39859,90825,43192,68317,98937,51294,84506,68972,87941,44664,83746,46469,77992,110224,52274,98314,76366,83914,38692,83148,62018,55270,52153,53366
2018-08-02T00:00:00.000,2010,68933,37083,80908,38186,62300,86536,55480,80291,61506,83078,39630,80216,43637,71848,100992,49017,88559,69524,78503,38134,81559,56806,51610,47702,55492
2018-08-02T00:00:00.000,2016,78787,44708,95297,46604,72305,97188,49616,89529,70504,93947,44491,89541,46710,83595,119386,54210,99604,78680,79966,38546,80049,62264,54643,50015,53509
2018-08-02T00:00:00.000,2007,67989,37171,80158,36894,60828,89159,48387,79803,62489,81545,42077,76802,42041,72092,100744,46693,91440,67706,75902,35553,72534,56512,50257,49981,49067
2018-08-02T00:00:00.000,2011,70075,38504,82980,38478,62309,88406,50809,82553,61191,88575,41936,77872,41829,77095,99040,49795,92288,70114,75158,35426,80943,55145,52028,45788,48472
2018-08-02T00:00:00.000,2009,69193,37151,79843,38458,64629,86281,49050,78418,60543,85899,43751,82598,42320,75364,101417,50585,93774,69545,75146,35621,71316,59633,48883,46404,47829
2018-08-02T00:00:00.000,2014,73851,39808,86654,41895,67766,92446,49573,84500,62198,86703,42279,83698,47441,79403,106871,53288,97279,71904,80650,38376,84686,54836,54606,51927,55691
,2017,,42977,94512,45677,70712,100630,48427,88581,69838,92053,44229,87755,46885,81495,116927,54127,100000,77818,82554,37915,82630,60737,56374,50783,54145
,2018,,43596,96174,46519,71679,102595,48055,89783,70731,92826,44386,88784,47421,82190,118965,54436,100808,78779,83331,38038,83442,60925,57047,51256,54781
,2019,,44216,97835,47361,72646,104560,47683,90985,70731,93600,44386,89812,47957,82885,121003,54745,101617,79740,84108,38160,84254,61113,57720,51729,55417
